Coordinates,Intro Number,Enactment Date,Enactment Year,Enactment Number,Category,Borough,New Name,Present Name,Limits,Zip Code,Introduced by Council Member(s),Biographical Information,Notes
POINT (-74.12085797399999 40.56087800800003),Int. No.  1631,08/23/2019,2019,2019/158,Intersection,Staten Island,Dr. Dominick Anthony Suppo Way,,At the intersection of Guyon Avenue and Pendale Street,10306,Matteo,"Dr. Dominick Anthony Suppo served in the United States Army rising to the rank of Captain, in the Fifth Army division before he was honorably discharged in 1963. He became a dentist and later started his own bank called the Gateway State Bank, where he s",
POINT (-74.13343751699995 40.603586291000056),Int. No. 471-A,12/21/2004,2004,2004/063,Intersection,Staten Island,Detective Frank P. Collins Street,,the intersection of Willowbrook Road and Buchanan Avenue,10314,Oddo,"Frank P. Collins was born on December 9, 1973. He was raised in New York City and attended Public School 193, Junior High School 240 and Edward R. Murrow High School. Frank dedicated his life to serving his community as a New York City Police Undercover",
POINT (-73.83377410199995 40.876004797000064),Int. No. 457,12/05/2006,2006,2006/050,Intersection,Bronx,Gloria Wise Way,,Donizetti Loop at the corner of Baychester Avenue,10475,Seabrook,"Gloria Wise, the late founding Executive Director of the Youth Activities Committee (YAC) – the predecessor agency to the Gloria Wise Boys & Girls Club, worked under the maxim that children must be offered “a safe haven, nurturing environments and po",
POINT (-73.84579542799997 40.64797024400008),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Karina Vetrano Way,,At the intersection of 165th Avenue and 84th Street,11414,Ariola,"Karina Vetrano attended Archbishop Molloy High School in Queens and graduated from St. John’s University with a master’s degree in speech pathology. An aspiring writer, she appeared in a 2013 short film inspired by her writings and directed by he",
POINT (-74.08363301999998 40.59796499600003),Int. No. 428-A,12/20/2010,2010,2011/003,Intersection,Staten Island,Dr. Gianpaolo Maestrone Corner,,At the intersection of Parkinson Avenue and Hylan Boulevard,10305,Oddo,"Dr. Gianpaolo Maestrone was born in Bergamo, Italy, and is known for his research efforts with Parkinson’s disease.  He graduated from the University of Milan with a doctor of veterinary medicine degree and later came to the United States in 1953 as a",
POINT (-73.84804295099997 40.81902219600005),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Bronx,Gerri Lamb Way,,At the intersection of Randall Avenue and Castle Hill Avenue,10473,Diaz,Gerri Lamb was a Castle Hill resident and community activist for over four decades.  She ran the Castle Hill Tenants Association and served as a volunteer on Pathways for Youth and the Kips Bay Boys and Girls Club.  She served as president of the North B,
POINT (-73.84056302399995 40.718369987000074),Int. No. 590-A,07/11/2011,2011,2011/047,Intersection,Queens,Geraldine Ferraro Way,,At the intersection of Austin Street and Ascan Avenue,11375,Koslowitz,"Geraldine Ferraro was a Democratic Party politician, a member of the United States House of Representatives and was the first female Vice Presidential candidate for former Vice President Walter Mondale.  She served as an assistant district attorney in",
POINT (-73.92098230099998 40.741292893000036),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Queens,Murray Fox Way,,At the intersection of 44th Street and Greenpoint Avenue,11104,Van Bramer,Murray Fox served in the United States Navy and later was a long-time Sunnyside resident who was active in the Kiwanis Club of Sunnyside for over 20 years serving as president for a number of those years.  He also served as the Kiwanis Club Lt. Governor,
POINT (-74.11121535205385 40.62886089795806),Int. No. 935,10/02/2012,2012,2012/048,Intersection,Staten Island,District Attorney Bill Murphy Way,,On the west side of Bement Avenue and Morrison Avenue,10310,Rose,"William Murphy was the longest serving District Attorney in Staten Island history.  In 1969, he began his career as a prosecutor in Manhattan District Attorney Frank Hogan’s office and became the chief of the Indictments Bureau.  He also served under D",
POINT (-73.98453679599999 40.57535618300005),Int. No. 849,08/10/2015,2015,2015/076,Intersection,Brooklyn,Louis Powsner Way,,At the intersection of West 17th Street and Surf Avenue,11224,Treyger,"Louis Powsner grew up in Brooklyn and graduated from Abraham Lincoln High School before serving his country as a staff sergeant in the United States Air Force’s 864th Bombardment Squad, which was known as “Kelly’s Kobras.” Upon his return, he com",
POINT (-74.13768883499995 40.566699895000056),Int. No. 877-A,12/29/2008,2008,2008/064,Intersection,Staten Island,Police Officer Edmund F. Lewis Way,,At the intersection of Amber Street and Clarke Avenue,10306,Ignizio,Edmund F. Lewis was killed by a drunk driver at the age of 29.  He was a Police Officer for almost 9 years and volunteered at Ground Zero for many weeks after the attacks.  He was very dedicated to the people of the City of New York.,
POINT (-74.13547211099996 40.56732743900005),Int. No. 746-A,12/29/2005,2005,2005/131,Intersection,Staten Island,Thomas Michael Darcy Way,,Corner of Thomas and Wolverine Streets,10306,Oddo,"Thomas Michael Darcy was born on September 25, 1965, and was the son of Margaret and Police Officer John Joseph Darcy, tragically killed while on duty September 13, 1967.  Thomas Michael tragically fell from the Chase building in Lower Manhattan on April",
POINT (-74.22461319399997 40.51047855500008),Int. No. 1449-A,03/18/2017,2017,2017/045,Intersection,Staten Island,William “Pop” Marsh Avenue,,At the northwest corner of Richard Avenue and Bartow Avenue,10309,Borelli,"William Marsh was a FDNY lieutenant, veteran, registered nurse and volunteer coach who was dedicated to his family and his faith.  He was born and raised in Tottenville and graduated from St. Mary's High School in Perth Amboy.  He served in the United St",
POINT (-73.93861896999994 40.616274006000026),Int. No. 1449-A,03/18/2017,2017,2017/045,Intersection,Brooklyn,Robert “Pudgie” Walsh Way,,At the intersection of East 36th Street and Avenue P,11234,Williams,"Robert Walsh was in the United States Navy and soon after joined the FDNY.  After he retired, he became a full-time coach of the semi-pro Brooklyn Mariners football team.  With 621 wins over 60 seasons, he won more games than any college or pro football",
POINT (-74.11713221799994 40.634623899000076),Int. No. 1300,01/20/2019,2019,2019/024,Intersection,Staten Island,Social Activist Charles K. Smith Way,,At the northeast corner of Broadway and Castleton Avenue,10310,Rose,"Charles K. Smith served as the assistant director of the PAL, Rasmussen Center, assistant director of the PS 18 community center, Boy Scout Master, Troop 33, a Deacon at St. Philips Baptist Church and an assistant to Borough President Ralph Lamberti.  He",
POINT (-73.95179389699996 40.81958460900006),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Manhattan,DJ Jinx Paul Way,,At the intersection of 136th Street and Amsterdam Avenue,10031,Abreu,"DJ Jinx Paul was a popular radio DJ on Mega 97.9. He was killed in a hit and run car incident while leaving an appearance at a club. In 2017, the City Council passed a law to catch drivers who flee the scene of a hit-and-run accident. The system works si",
POINT (-73.86572532999998 40.82098160100003),Int. No. 897,03/19/2023,2024,2023/044,Intersection,Bronx,Marie Reid Way,,At the intersection of Lafayette Avenue and Soundview Avenue,10473,Farías,"Marie Reed was very active with the Soundview Presbyterian Church and James Monroe houses for over 40 years. With the church, she served on the Christian Education Committee, the Soundview Presbyterian Women Gills Committee, the Scholarship Committee and",
POINT (-73.90368302999997 40.74490998400006),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Queens,Walter McCaffrey Place,,At the intersection of 61st Street and Woodside Avenue,11377,Van Bramer,"Walter McCaffrey attended Monsignor McClancey Memorial High School in East Elmhurst and later graduated from Iona College.  He served as chairman of Queens Community Board 2, and chief-of-staff first to then Manhattan Borough President Andrew Stein, and",
POINT (-74.11170761799997 40.58012165200006),Int. No. 1744,12/01/2017,2017,2017/237,Intersection,Staten Island,Richard L. Willis Way,,At the intersection of Fremont Avenue and Kruser Street,10306,Matteo,"Richard Willis was very dedicated to the Grant City and Midland beach areas of Staten Island.  He coached basketball, baseball and started up a soccer program at St. Christopher's Parish.  He was President of the St. Christopher's Sports Program and Holy",
POINT (-74.07427409499996 40.644866646000025),Int. No. 437-A,06/03/2003,2003,2003/034,Intersection,Staten Island,Merchant Marine Memorial Plaza,,the existing north shore  esplanade walkway located between Pier No. 1 and Department of Transportation building No. 11 at the Saint George Ferry Terminal,10301,McMahon,The Staten Island chapter of the American Merchant Marine Veterans has an existing memorial site on the esplanade at the former U.S. Coast Guard Base in St. George.  They have requested the Council’s support for the designation of the plaza area betwee,
POINT (-73.94148270299996 40.79868034100008),Int. No. 988,07/29/2018,2018,2018/139,Intersection,Manhattan,Vito Marcantonio Lucky Corner,,At the northeast corner of 116th Street and Lexington Avenue,10029,Ayala,"The Lucky Corner is located on East 116th Street and Lexington Avenue, a site that represented both a crossroads and a borderline.  Located on this corner was a subway stop for East Harlem’s sole subway line, and cross-town as well as north-south buses",
POINT (-73.91933529399995 40.82782350400004),Int. No. 1227,08/03/2016,2016,2016/092,Intersection,Bronx,Melanie Rodriguez Place,,At the intersection of Sherman Avenue and East 163rd Street,10456,Gibson,"Melanie Rodriguez was a community activist for the Sherman Avenue community gardens.  On May 10, 1988, she took over a parking lot next to the building she lived at on Sherman Avenue.  With assistance from Community Board 4, The Trust For Public Land and",
POINT (-74.00864499299996 40.61914086300004),Int. No. 825,10/10/2008,2008,2008/048,Intersection,Brooklyn,Firefighter Joey Graffagnino Place,,At the southwest corner of 77th Street and 13th Avenue,11228,Gentile,"Firefighter Graffagnino was a lifelong resident of Dyker Heights and was very well respected by his colleagues and loved by all those who knew him.  An 8 year veteran of the New York City Fire Department, Firefighter Graffagnino was killed in the line of",
POINT (-73.91906466099994 40.783043647000056),Int. No. 1188-A,12/17/2013,2013,2013/131,Intersection,Queens,The Honorable Gloria D’Amico Place,,At the intersection of 21st Drive and Shore Boulevard,11105,"Vallone, Jr",Gloria D’ Amico was a longtime Astoria resident and activist.  She served as a board member of the Salah M. Hassanein Variety Boys and Girls Club of Queens.  Every year the club co-sponsors the Hon. Gloria D’ Amico Fun Run/Walk held in Astoria Park.,
POINT (-73.87624696499995 40.715670009000064),Int. No. 1278,01/20/2024,2024,2024/041,Intersection,Queens,Hilda Vannata Way,,At the intersection of 77th Place and Juniper Valley Road,11379,Holden,Hilda Vannata served as an EMT for 26 years at Battalion 14 – Lincoln Hospital. She died as a result of 9/11 related illness.,
POINT (-73.90677100699997 40.77005301200006),Int. No. 1102-A,07/23/2023,2023,2023/110,Intersection,Queens,Detective Anastasios Tsakos Way,,At the intersection of 42nd Street and 23rd Avenue,11105,Cabán,Anastasios Tsakos served with the NYPD for 13 years as a highway officer assigned to Highway Unit 3. He was killed in the line of duty after he was struck by a drunk driver while responding to a collision and directing traffic on the Long Island Expressw,
